timestamp,bytes_transferred,rate_mbps,rate_mbpm,total_mb
2025-03-13 14:26:18,744137,0.14,8.47,0.71
2025-03-13 14:26:23,8250500,1.43,85.90,7.87
2025-03-13 14:26:28,13917403,1.08,64.85,13.27
2025-03-13 14:26:33,20585474,1.27,76.31,19.63
2025-03-13 14:26:38,24890165,0.82,49.26,23.74
2025-03-13 14:26:43,27792668,0.55,33.22,26.51
2025-03-13 14:26:48,32071555,0.82,48.97,30.59
2025-03-13 14:26:53,36167137,0.78,46.86,34.49
2025-03-13 14:26:58,36612501,0.08,5.10,34.92
2025-03-13 14:27:03,37231182,0.12,7.08,35.51
2025-03-13 14:27:08,40115491,0.55,33.01,38.26
2025-03-13 14:27:13,44557652,0.85,50.83,42.49
2025-03-13 14:27:18,47007527,0.47,28.04,44.83
2025-03-13 14:27:23,50916586,0.75,44.74,48.56
2025-03-13 14:27:28,55058614,0.79,47.40,52.51
2025-03-13 14:27:33,59042076,0.76,45.58,56.31
2025-03-13 14:27:38,62244698,0.61,36.65,59.36
2025-03-13 14:27:43,66875662,0.88,52.99,63.78
2025-03-13 14:27:48,70493787,0.69,41.41,67.23
2025-03-13 14:27:53,73482359,0.57,34.19,70.08
2025-03-13 14:27:58,76579342,0.59,35.45,73.03
2025-03-13 14:28:03,79653060,0.59,35.18,75.96
2025-03-13 14:28:08,82545109,0.55,33.08,78.72
2025-03-13 14:28:13,87218724,0.89,53.50,83.18
