timestamp,bytes_transferred,rate_mbps,total_mb
2025-03-14T11:32:06-04:00,0,0.00,0.00
2025-03-14T11:32:16-04:00,427577,0.04,0.41
2025-03-14T11:32:26-04:00,1786655,0.13,1.70
2025-03-14T11:32:36-04:00,4199252,0.23,4.00
2025-03-14T11:32:46-04:00,5498207,0.12,5.24
2025-03-14T11:32:56-04:00,6401240,0.09,6.10
2025-03-14T11:33:06-04:00,8051104,0.16,7.68
2025-03-14T11:33:16-04:00,10591017,0.24,10.10
2025-03-14T11:33:26-04:00,12648636,0.20,12.06
2025-03-14T11:33:36-04:00,13668404,0.10,13.04
2025-03-14T11:33:46-04:00,16159117,0.24,15.41
2025-03-14T11:33:56-04:00,18648114,0.24,17.78
2025-03-14T11:34:06-04:00,20136766,0.14,19.20
2025-03-14T11:34:16-04:00,21598855,0.14,20.60
2025-03-14T11:34:26-04:00,22064391,0.04,21.04
2025-03-14T11:34:36-04:00,24672275,0.25,23.53
2025-03-14T11:34:46-04:00,25704430,0.10,24.51
2025-03-14T11:34:56-04:00,26499759,0.08,25.27
2025-03-14T11:35:06-04:00,28044744,0.15,26.75
2025-03-14T11:35:16-04:00,29741556,0.16,28.36
2025-03-14T11:35:26-04:00,31331730,0.15,29.88
2025-03-14T11:35:36-04:00,33859733,0.24,32.29
2025-03-14T11:35:46-04:00,35674565,0.17,34.02
2025-03-14T11:35:56-04:00,39457308,0.36,37.63
2025-03-14T11:36:06-04:00,42682266,0.31,40.70
2025-03-14T11:36:16-04:00,46171084,0.33,44.03
2025-03-14T11:36:26-04:00,49812152,0.35,47.50
2025-03-14T11:36:36-04:00,51777320,0.19,49.38
2025-03-14T11:36:46-04:00,54885798,0.30,52.34
2025-03-14T11:36:56-04:00,60247002,0.51,57.46
